strategy_id,strategy_name,experiment_name,variant,changed_component,status,gender_accuracy,gender_precision,gender_recall,gender_f1,age_mae,age_rmse,age_r2,samples,trainable_parameters,training_seconds,checkpoint,message,age_mae_0_12,age_mae_13_19,age_mae_20_39,age_mae_40_59,age_mae_60_plus,age_support_0_12,age_support_13_19,age_support_20_39,age_support_40_59,age_support_60_plus,test_samples,train_samples,validation_samples
E3,CNN simple multitarea,cnn_lambda_low,ablacion,lambda_age=0.001,COMPLETADO,0.8799550182738263,0.8799971342086792,0.8799550533294678,0.8798466920852661,13.307934761047363,18.95777702331543,0.055496275424957275,3557,286755,486.9858247670345,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/cnn_lambda_low/best_model.pt,,9.421521186828613,5.076934337615967,6.5409746170043945,20.315166473388672,43.44022750854492,509,197,1827,644,380,3557,16593,3555
E3,CNN simple multitarea,cnn_lambda_high,ablacion,lambda_age=0.1,COMPLETADO,0.8484678099522069,0.8489606380462646,0.8484678268432617,0.8485660552978516,9.174844741821289,12.817774772644043,0.5682283639907837,3557,286755,483.8293418569956,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/cnn_lambda_high/best_model.pt,,7.621120452880859,8.095855712890625,6.260190010070801,11.058917045593262,22.635726928710938,509,197,1827,644,380,3557,16593,3555
E4,ResNet18 congelada,resnet_frozen_base,base,ninguno,COMPLETADO,0.8372223784087715,0.8371534943580627,0.8372223973274231,0.8371065855026245,10.56383991241455,14.047907829284668,0.4813764691352844,3557,1539,493.79067919193767,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/resnet_frozen_base/best_model.pt,,11.437654495239258,10.204014778137207,6.959896564483643,10.582558631896973,26.87558364868164,509,197,1827,644,380,3557,16593,3555
E4,ResNet18 congelada,resnet_frozen_no_augmentation,ablacion,sin aumentacion,COMPLETADO,0.831037391059882,0.8313195109367371,0.8310374021530151,0.8306769132614136,10.562722206115723,14.080878257751465,0.4789392352104187,3557,1539,296.6572689389577,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/resnet_frozen_no_augmentation/best_model.pt,,11.376895904541016,10.112717628479004,6.93629264831543,10.580889701843262,27.110132217407227,509,197,1827,644,380,3557,16593,3555
E4,ResNet18 congelada,resnet_frozen_lambda_low,ablacion,lambda_age=0.001,COMPLETADO,0.8372223784087715,0.8371534943580627,0.8372223973274231,0.8371065855026245,11.179252624511719,15.003072738647461,0.40845292806625366,3557,1539,487.80684060708154,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/resnet_frozen_lambda_low/best_model.pt,,13.703474044799805,10.094880104064941,6.235270977020264,11.754813194274902,31.155004501342773,509,197,1827,644,380,3557,16593,3555
E4,ResNet18 congelada,resnet_frozen_lambda_high,ablacion,lambda_age=0.1,COMPLETADO,0.8372223784087715,0.8371534943580627,0.8372223973274231,0.8371065855026245,10.51198673248291,13.955469131469727,0.48817938566207886,3557,1539,499.2958919070661,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/resnet_frozen_lambda_high/best_model.pt,,11.23697566986084,10.219610214233398,7.062798023223877,10.503019332885742,26.29099464416504,509,197,1827,644,380,3557,16593,3555
E5,ResNet18 fine-tuning,resnet_finetuning_base,base,ninguno,COMPLETADO,0.920157436041608,0.9201987385749817,0.9201574921607971,0.920170783996582,6.754579544067383,9.512166023254395,0.7622132301330566,3557,8395267,506.1501880539581,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/resnet_finetuning_base/best_model.pt,,3.818707227706909,6.703770637512207,4.92728853225708,9.857261657714844,14.240633964538574,509,197,1827,644,380,3557,16593,3555
E5,ResNet18 fine-tuning,resnet_finetuning_unfreeze_more,ablacion,mas bloques descongelados,COMPLETADO,0.9260612876019118,0.9262499213218689,0.9260612726211548,0.9260939359664917,7.561138153076172,10.595481872558594,0.704967200756073,3557,10494979,519.9885076240171,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/resnet_finetuning_unfreeze_more/best_model.pt,,4.294297218322754,9.187675476074219,6.349782466888428,9.986778259277344,12.807003021240234,509,197,1827,644,380,3557,16593,3555
E5,ResNet18 fine-tuning,resnet_finetuning_lr_low,ablacion,learning rate menor,COMPLETADO,0.9156592634242339,0.9158060550689697,0.9156593084335327,0.9156908988952637,7.890020370483398,11.126076698303223,0.6746783256530762,3557,8395267,506.9669671279844,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/resnet_finetuning_lr_low/best_model.pt,,5.240426540374756,6.315612316131592,5.3564534187316895,10.446447372436523,20.103944778442383,509,197,1827,644,380,3557,16593,3555
E5,ResNet18 fine-tuning,resnet_finetuning_lambda_high,ablacion,lambda_age=0.1,COMPLETADO,0.9277481023334271,0.9278610348701477,0.9277481436729431,0.9277721643447876,5.5616912841796875,7.974994659423828,0.8328564167022705,3557,8395267,506.05275849602185,/home/alumnos/pregrado/carlos.pena/Lab03-DL-2026-01/artifacts/checkpoints/resnet_finetuning_lambda_high/best_model.pt,,2.463911771774292,5.112554550170898,5.002403736114502,7.419830799102783,9.48386001586914,509,197,1827,644,380,3557,16593,3555
